Time[s],XJ3_ACAN_CMX_V0.96::BCS_2_A::BCS_VehSpd[km/h],XJ3_ACAN_CMX_V0.96::EPS_1::EPS_StrngWhlTorq[Nm]
285.949513,,0.3
285.9564,28.51875,
285.966258,28.51875,
285.969766,,0.3
285.976417,28.51875,
285.986253,28.51875,
285.989815,,0.3
285.996422,28.51875,
286.00626,28.51875,
286.009758,,0.3
286.016409,28.51875,
286.026237,28.51875,
286.02964,,0.3
286.036404,28.575,
286.046195,28.575,
286.049512,,0.3
286.056383,28.575,
286.066236,28.575,
286.0698,,0.3
286.076407,28.575,
286.086253,28.575,
286.089802,,0.3
286.096407,28.575,
286.106239,28.575,
286.109801,,0.3
286.116426,28.575,
286.126262,28.575,
286.12983,,0.2
286.136432,28.575,
286.146269,28.575,
286.149516,,0.3
286.156419,28.575,
286.166259,28.575,
286.169781,,0.2
286.176396,28.575,
286.186277,28.575,
286.18958,,0.2
286.196427,28.575,
286.206261,28.575,
286.20952,,0.2
286.216415,28.575,
286.226257,28.575,
286.229634,,0.2
286.236422,28.575,
286.24626,28.575,
286.249535,,0.2
286.256416,28.575,
286.266263,28.575,
286.269564,,0.2
286.276411,28.575,
286.286278,28.575,
286.289559,,0.2
286.296424,28.575,
286.306274,28.575,
286.309345,,0.2
286.316409,28.575,
286.326269,28.575,
286.329631,,0.2
286.336431,28.575,
286.346208,28.575,
286.349515,,0.2
286.3564,28.575,
286.366245,28.575,
286.369543,,0.2
286.376415,28.575,
286.386254,28.575,
286.389579,,0.1
286.396424,28.575,
286.40627,28.575,
286.409549,,0.1
286.416418,28.575,
286.426276,28.575,
286.429872,,0
286.436439,28.63125,
286.446194,28.63125,
286.449504,,0
286.456421,28.63125,
286.466276,28.63125,
286.469514,,0
286.476429,28.63125,
286.486264,28.63125,
286.489329,,0
286.496445,28.63125,
286.506265,28.63125,
286.509556,,0
286.516414,28.63125,
286.526286,28.63125,
286.529866,,0
286.536408,28.63125,
286.546228,28.63125,
286.549543,,0
286.55642,28.63125,
286.566279,28.63125,
286.56956,,0
286.576419,28.63125,
286.58627,28.63125,
286.589345,,0
286.596447,28.63125,
286.606265,28.63125,
286.609555,,0.1
286.616408,28.63125,
286.626248,28.63125,
286.629906,,0.1
286.636436,28.63125,
286.646221,28.63125,
286.649543,,0.1
286.656428,28.6875,
286.666253,28.6875,
286.669789,,0.1
286.676412,28.6875,
286.686255,28.6875,
286.689569,,0.1
286.696444,28.6875,
286.706274,28.6875,
286.709564,,0
286.716441,28.6875,
286.726285,28.6875,
286.729852,,0
286.736433,28.6875,
286.746224,28.6875,
286.749524,,0
286.7564,28.6875,
286.766286,28.6875,
286.76955,,0
286.776429,28.74375,
286.786273,28.74375,
286.789563,,0
286.79642,28.74375,
286.806272,28.74375,
286.809575,,0
286.816434,28.74375,
286.826267,28.74375,
286.829885,,0
286.83644,28.74375,
286.846286,28.74375,
286.84952,,0
286.856432,28.74375,
286.866104,28.74375,
286.869566,,0
286.876438,28.74375,
286.886289,28.74375,
286.889322,,0
286.896268,28.74375,
286.906272,28.74375,
286.909574,,0
286.916431,28.74375,
286.926267,28.74375,
286.929861,,0
286.936434,28.74375,
286.946241,28.74375,
286.949539,,0
286.956438,28.74375,
286.966284,28.74375,
286.969312,,0
286.976418,28.74375,
286.986276,28.8,
286.989574,,0
286.996437,28.8,
287.00629,28.8,
287.009525,,0
287.016432,28.8,
287.026286,28.8,
287.0299,,0
287.036433,28.8,
287.046288,28.8,
287.049524,,0
287.05644,28.8,
287.066279,28.8,
287.069647,,0
287.076442,28.8,
287.086259,28.8,
287.089318,,0
287.096435,28.8,
287.106278,28.8,
287.109565,,0
287.116423,28.8,
287.126297,28.8,
287.129877,,0
287.136447,28.8,
287.146281,28.8,
287.149551,,0
287.156431,28.8,
287.166292,28.8,
287.16956,,0
287.176407,28.8,
287.186268,28.8,
287.18958,,0
287.19645,28.8,
287.206283,28.8,
287.209543,,0
287.216433,28.8,
287.226257,28.8,
287.230133,,0
287.236445,28.85625,
287.246273,28.85625,
287.249537,,0
287.256419,28.85625,
287.266271,28.85625,
287.269659,,0
287.27643,28.85625,
287.286259,28.85625,
287.289324,,0
287.296453,28.85625,
287.306283,28.85625,
287.309158,,0
287.316422,28.85625,
287.326273,28.85625,
287.330117,,0
287.336458,28.85625,
287.346269,28.85625,
287.349547,,0
287.356424,28.85625,
287.36629,28.85625,
287.369553,,0
287.376442,28.85625,
287.386274,28.85625,
287.389585,,0
287.396425,28.85625,
287.406291,28.85625,
287.409581,,0
287.416433,28.85625,
287.42628,28.85625,
287.429902,,0
287.436472,28.85625,
287.446291,28.85625,
287.449563,,0
287.45644,28.85625,
287.466261,28.85625,
287.469726,,0
287.476448,28.85625,
287.486286,28.85625,
287.489346,,0
287.496347,28.85625,
287.506257,28.85625,
287.50959,,0
287.516426,28.85625,
287.526263,28.9125,
287.52938,,0
287.536444,28.9125,
287.546283,28.9125,
287.54955,,0
287.556427,28.9125,
287.566262,28.9125,
287.569569,,0
287.576428,28.9125,
287.586296,28.9125,
287.589595,,0
287.596453,28.9125,
287.606285,28.9125,
287.60936,,0
287.616448,28.9125,
287.626286,28.9125,
287.629887,,0
287.636463,28.9125,
287.646292,28.9125,
287.649533,,0
287.656458,28.9125,
287.666274,28.9125,
287.670065,,0
287.676456,28.9125,
287.686271,28.9125,
287.689336,,0
287.696473,28.9125,
287.706287,28.9125,
287.709359,,0
287.71644,28.9125,
287.726309,28.9125,
287.729859,,0
287.736446,28.9125,
